"id","impressionable_type","impressionable_id","user_id","activity_id","controller_name","action_name","view_name","request_hash","ip_address","session_hash","message","referrer","created_at","updated_at"
"1","Activity","1","","0","activities","show","","c5c3bd11e56a473387aeb061e48f83a8b7f055a1f6d1a7e87957f2e7e75f19e0","153.206.42.100","6e5c9b62f00e06221e553a8de2ae409d","company_id:1","https://tasuki.ne.jp/home/index","2016-01-12 08:41:23 +0900","2016-01-12 08:41:23 +0900"
"2","Activity","1","","0","activities","show","","cafec71113b37ace415fb71c20ed48f1b47063e2bb87a438fa6df39aa8c67366","153.206.42.100","bd416b30e062b2e32f6729eccf83854f","npo_id:1","https://tasuki.ne.jp/npo_admin/npos","2016-01-13 01:22:34 +0900","2016-01-13 01:22:34 +0900"
"3","Activity","1","","0","activities","show","","5337dfb493008a258b1cb9f0247af8756076fd12817cc07c2f1f208d170638b2","153.206.42.100","fbdee508ba5ca14103f71d9017e58379","company_id:1","https://tasuki.ne.jp/home/index","2016-01-13 03:52:20 +0900","2016-01-13 03:52:20 +0900"
"4","Activity","1","","0","activities","show","","e9dbcb323291763dc3b1c77aa2933c2da2bb9a269a2759b58ec64d0fb8cce7f0","153.206.42.100","f7a479b8d2359f1cf2dd6efcb141dfdf","company_id:2","https://tasuki.ne.jp/home/index","2016-01-13 04:31:22 +0900","2016-01-13 04:31:22 +0900"
"5","Activity","1","","0","activities","show","","ee4de4f66ef918f0a772fe1c469a2665c37aaaed44c586eb8015bb4f253ee502","153.206.42.100","f7a479b8d2359f1cf2dd6efcb141dfdf","company_id:2","https://tasuki.ne.jp/home/index","2016-01-13 05:23:26 +0900","2016-01-13 05:23:26 +0900"
"6","Activity","1","","0","activities","show","","c67cdad1c3d65c4f90138f6c4fe3fa7d832acae50b4edede61edde132a3b9769","153.206.42.100","f7a479b8d2359f1cf2dd6efcb141dfdf","npo_id:1","https://tasuki.ne.jp/npo_admin/npos","2016-01-13 07:04:15 +0900","2016-01-13 07:04:15 +0900"
"7","Activity","1","","0","activities","show","","063c601db9c475784e9bd6b33aa961f1dd56393d49ec4389ef486a8ab89fa0b3","153.206.42.100","f7a479b8d2359f1cf2dd6efcb141dfdf","company_id:2","https://tasuki.ne.jp/home/index","2016-01-13 08:29:11 +0900","2016-01-13 08:29:11 +0900"
"8","Activity","1","","0","activities","show","","2db927582e0b19f310c1d3d8ef6bd6e60889738b4411e77750f6926f6a312207","126.168.21.107","2585af8576a7913296966cd1917890ee","company_id:2","https://tasuki.ne.jp/home/index","2016-01-14 04:22:04 +0900","2016-01-14 04:22:04 +0900"
"9","Activity","1","","0","activities","show","","c0194dafada250010c101c907be55841c62a3c881bedf37d9d2fd1ef67c0dd61","153.206.42.100","b311ab0bd6adb1ca5cc72d6fd21ebeca","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-14 09:08:32 +0900","2016-01-14 09:08:32 +0900"
"10","Activity","1","","0","activities","show","","1dfeec68f5812afaffeb05160da588e905472349e23b2b54146225417747666b","153.206.42.100","b311ab0bd6adb1ca5cc72d6fd21ebeca","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-14 13:19:45 +0900","2016-01-14 13:19:45 +0900"
"11","Activity","1","","0","activities","show","","b8283514e681d4ee63dee64fa2158752b0323e411d8fa94485c52450d581d74f","153.229.115.63","fd03718ef2f0fc5d1a64b58a4463b1f5","npo_id:4","https://tasuki.ne.jp/org/npos","2016-01-15 02:17:40 +0900","2016-01-15 02:17:40 +0900"
"12","Activity","1","","0","activities","show","","969b55ec9bbefa2e4d7e7f6b96df7b6df9cc385c60cb2449decbae9b0f7f651d","153.229.115.63","fd03718ef2f0fc5d1a64b58a4463b1f5","npo_id:4","https://tasuki.ne.jp/org/npos","2016-01-15 02:18:49 +0900","2016-01-15 02:18:49 +0900"
"13","Activity","1","","0","activities","show","","3036e9e41a70e73a757d26bd27817263df421d73ea49a92b190beeb4e51f4533","153.206.42.100","725f20c1f248b5ba9e06a2fbb6b334ce","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-15 06:17:24 +0900","2016-01-15 06:17:24 +0900"
"14","Activity","1","","0","activities","show","","35e176e5e1bd937a70dbebc6f40ee6271c56bab256615e33ef1821b806927f63","153.206.42.100","725f20c1f248b5ba9e06a2fbb6b334ce","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-15 06:17:34 +0900","2016-01-15 06:17:34 +0900"
"15","Activity","1","","0","activities","show","","63edb0aa87381a955697f32581509f6072f486353effea0a2cfdc2e759744133","153.206.42.100","a6609fb0b2c450cfcb430b905a05fcc5","company_id:2","https://tasuki.ne.jp/home/index","2016-01-15 06:27:15 +0900","2016-01-15 06:27:15 +0900"
"16","Activity","1","","0","activities","show","","47249c1f6116693fd3baf9d94857bf5e31d6f1ca7fbf420f58ee2b2520cb3632","153.206.42.100","a6609fb0b2c450cfcb430b905a05fcc5","company_id:2","https://tasuki.ne.jp/activities/NaMqlw3R","2016-01-15 06:27:21 +0900","2016-01-15 06:27:21 +0900"
"17","Activity","1","","0","activities","show","","cbcaee88199ee38f896cb48702a630223b1e4c8b6266c00f82f164acd7f62db2","153.206.42.100","708a3e363d8a9ee1eb081da51e38d875","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-15 06:37:46 +0900","2016-01-15 06:37:46 +0900"
"18","Activity","1","","0","activities","show","","70f49ae64a6d803ebf94c7d3e02fdb7c627b19d675af1ee7c165b5529f4f56fb","153.206.42.100","708a3e363d8a9ee1eb081da51e38d875","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-15 06:38:54 +0900","2016-01-15 06:38:54 +0900"
"19","Activity","1","","0","activities","show","","19517a2ab3a0114290c189edf414f45ecc95f873d99305c41178e1eb49fe7dbc","153.206.42.100","78e757a66566edacb03fcd7e82c22081","company_id:2","https://tasuki.ne.jp/home/index","2016-01-15 06:47:37 +0900","2016-01-15 06:47:37 +0900"
"20","Activity","1","","0","activities","show","","6f766634852a90fb9509b709a77d049f01b43e42b0611b5b6081e3ef25380d43","153.206.42.100","b41d5e08dc98a616cd436bede123cd48","npo_id:6","https://tasuki.ne.jp/org/npos","2016-01-19 00:50:22 +0900","2016-01-19 00:50:22 +0900"
"21","Activity","1","","0","activities","show","","ef2af75ff6d344ae2b6d93cba3b53f9f56460adc78dcf0bfe39ff7b15db4076f","153.206.42.100","57695e8adcd45adc455e8a42a215f95e","company_id:2","https://tasuki.ne.jp/home/index#","2016-01-19 03:30:19 +0900","2016-01-19 03:30:19 +0900"
"22","Activity","1","","0","activities","show","","40d9128e9c44e0a5baf25e098d381d2ad807de60890099cfb63409e115441139","153.206.42.100","57695e8adcd45adc455e8a42a215f95e","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-19 06:23:16 +0900","2016-01-19 06:23:16 +0900"
"23","Activity","1","","0","activities","show","","ec18120be478821af4b760d9780032aeb3a66c6e46c07873e2e9d4b51689c4ad","153.206.42.100","df5302db2ddd2a7cebc79f57f4083551","company_id:2","https://tasuki.ne.jp/home/my_page_likes","2016-01-19 06:24:08 +0900","2016-01-19 06:24:08 +0900"
"24","Activity","1","","0","activities","show","","58868b76e84c0dcf878db2b726717a9dfc5b07cc3a701a79ce975795c6a95df9","153.206.42.100","df5302db2ddd2a7cebc79f57f4083551","company_id:2","https://tasuki.ne.jp/home/index","2016-01-19 06:24:30 +0900","2016-01-19 06:24:30 +0900"
"25","Activity","1","","0","activities","show","","a8cc86c2d4d83934b81c1dc9d668b3435d8a9a86156f1ff25c34eac293a9e677","153.206.42.100","73b95850afc6228ba8da37017beb499a","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-19 06:40:59 +0900","2016-01-19 06:40:59 +0900"
"26","Activity","1","","0","activities","show","","56bac58aaceae52fbffa684ee41b6472be90358d083fffda0d56036cf288e433","153.206.42.100","73b95850afc6228ba8da37017beb499a","company_id:2","https://tasuki.ne.jp/home/index","2016-01-19 07:25:55 +0900","2016-01-19 07:25:55 +0900"
"27","Activity","4","","0","activities","show","","7e277a88bdfdad44763565e235eee999ff9fc4f93b3a1d297fe833280a0365f1","133.27.91.43","73b95850afc6228ba8da37017beb499a","company_id:2","https://tasuki.ne.jp/home/index","2016-01-20 03:06:57 +0900","2016-01-20 03:06:57 +0900"
"28","Activity","4","","0","activities","show","","e1c55f090ac3a7017a4f8978a955a8b24885d83d9adc2507d420891490fd421a","153.206.42.100","700f2befe0072185b39c77b2a388647a","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-20 03:11:12 +0900","2016-01-20 03:11:12 +0900"
"29","Activity","4","","0","activities","show","","624f74fa22fa28bd7d380cefc7ce150c83e7e706fe73b7cd7adf25d7bbaed1c1","153.206.42.100","2dd8bad0be41c7ef71c3f29237b0c467","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-20 03:19:39 +0900","2016-01-20 03:19:39 +0900"
"30","Activity","4","","0","activities","show","","b4f900a7d8379b6b13ae25fe612b0a1c6088ab8447dff28469802aa603b86d14","153.206.42.100","2dd8bad0be41c7ef71c3f29237b0c467","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-20 06:25:18 +0900","2016-01-20 06:25:18 +0900"
"31","Activity","4","","0","activities","show","","dfe7725d9e21aba6f35abe0e7537461c29e8b8d88c7253fe6bad0344f1cfde38","153.206.42.100","1cd3cc8c87a2455709854d28c033b80c","company_id:2","https://tasuki.ne.jp/home/index","2016-01-20 08:46:09 +0900","2016-01-20 08:46:09 +0900"
"32","Activity","4","","0","activities","show","","295dc626f5d03f68470e612b979707ae7c439398c321c95992e1f0585b93a24a","153.206.42.100","af09c7e6337c7b5e5db1341c16f5b766","npo_id:1","https://tasuki.ne.jp/org/npos","2016-01-21 08:20:50 +0900","2016-01-21 08:20:50 +0900"
"33","Activity","4","","0","activities","show","","d31da1169edc824e8be13e38a17ff0e145090354e7524be9372a153a55a30b02","153.206.42.100","af09c7e6337c7b5e5db1341c16f5b766","npo_id:1","https://tasuki.ne.jp/org/sign_in","2016-01-21 08:20:56 +0900","2016-01-21 08:20:56 +0900"
"34","Activity","4","","0","activities","show","","5bc9d3b0c7b1f9c8ed738975d9c3fa48612f1afc451f948e255e26ced2402848","175.133.80.7","765ae0f940f6f5ef8b5d54b9290203dc","npo_id:10","https://tasuki.ne.jp/org/npos","2016-01-21 09:01:30 +0900","2016-01-21 09:01:30 +0900"
"35","Activity","4","","0","activities","show","","3d30b300397cc0e5e4dc355471c5643673d9faed01f6db62abc85821b43fc5ed","175.133.80.7","cb16e9664267d14fb19d389041df9a81","npo_id:10","https://tasuki.ne.jp/org/npos","2016-01-21 09:11:50 +0900","2016-01-21 09:11:50 +0900"
"36","Activity","4","","0","activities","show","","b9fddc6c0fab20f478d122973e296b0bed7d590ee6e8b838a745243d37757fd3","175.133.80.7","cb16e9664267d14fb19d389041df9a81","npo_id:10","https://tasuki.ne.jp/org/npos","2016-01-21 09:14:28 +0900","2016-01-21 09:14:28 +0900"
"37","Activity","4","","0","activities","show","","342bffa982490f77b6951b51450c7a29c49296ae32b9fe35b10b2954e18a8e89","175.133.80.7","cb16e9664267d14fb19d389041df9a81","npo_id:10","https://tasuki.ne.jp/org/npos","2016-01-21 09:16:55 +0900","2016-01-21 09:16:55 +0900"
