"id","tag_id","taggable_id","taggable_type","tagger_id","tagger_type","context","created_at"
"2","2","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"3","3","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"4","4","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"5","5","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"6","6","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"7","7","1","Activity","","","type","2016-01-13 09:53:00 +0900"
"8","8","4","Activity","","","type","2016-01-19 13:59:41 +0900"
"9","9","4","Activity","","","type","2016-01-19 13:59:41 +0900"
"10","10","4","Activity","","","type","2016-01-19 13:59:41 +0900"
"11","11","4","Activity","","","type","2016-01-19 13:59:41 +0900"
